date,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M,latitude,longitude
20240101,0.0,27.86,17.68,82.81,1.05,10.6583,77.0094
20240102,1.48,26.35,19.12,85.8,1.23,10.6583,77.0094
20240103,2.22,26.99,18.75,86.19,0.99,10.6583,77.0094
20240104,8.63,26.68,19.69,89.72,0.88,10.6583,77.0094
20240105,9.44,27.06,20.6,88.88,1.0,10.6583,77.0094
20240106,3.03,25.64,19.88,88.91,1.26,10.6583,77.0094
20240107,0.7,26.28,19.56,87.19,1.39,10.6583,77.0094
20240108,1.96,27.03,20.03,88.77,1.74,10.6583,77.0094
20240109,13.66,26.14,20.44,90.55,2.0,10.6583,77.0094
20240110,0.93,24.55,19.35,87.54,1.66,10.6583,77.0094
20240111,0.01,26.82,18.87,82.98,1.94,10.6583,77.0094
20240112,0.0,26.95,18.13,82.95,2.02,10.6583,77.0094
20240113,0.0,27.31,17.28,83.41,1.61,10.6583,77.0094
20240114,0.0,27.87,18.68,82.53,1.29,10.6583,77.0094
20240115,0.0,27.51,17.04,80.31,1.1,10.6583,77.0094
20240116,0.0,27.36,15.6,79.77,0.93,10.6583,77.0094
20240117,0.0,27.87,16.78,76.39,0.88,10.6583,77.0094
20240118,0.0,28.31,16.3,71.22,0.84,10.6583,77.0094
20240119,0.86,29.26,17.33,80.83,0.9,10.6583,77.0094
20240120,1.13,29.06,19.84,83.75,1.23,10.6583,77.0094
20240121,0.1,29.42,19.29,78.74,1.27,10.6583,77.0094
20240122,0.0,29.84,18.37,78.05,1.17,10.6583,77.0094
20240123,0.01,29.18,17.97,77.85,1.05,10.6583,77.0094
20240124,0.73,29.65,18.7,79.46,0.52,10.6583,77.0094
20240125,0.0,29.15,18.82,76.19,0.98,10.6583,77.0094
20240126,0.0,28.93,17.32,74.89,1.44,10.6583,77.0094
20240127,0.0,28.57,17.85,74.82,1.6,10.6583,77.0094
20240128,0.0,29.12,18.77,75.68,1.53,10.6583,77.0094
20240129,0.0,29.46,17.35,73.39,1.28,10.6583,77.0094
20240130,0.0,30.06,16.14,71.16,0.96,10.6583,77.0094
20240131,0.01,30.7,17.27,76.63,0.84,10.6583,77.0094
20240201,0.01,31.09,19.59,75.57,0.7,10.6583,77.0094
20240202,0.01,31.51,19.88,74.13,0.5,10.6583,77.0094
20240203,0.03,31.71,20.23,75.08,1.02,10.6583,77.0094
20240204,0.0,30.72,18.55,70.92,1.43,10.6583,77.0094
20240205,0.0,30.39,16.6,69.42,1.52,10.6583,77.0094
20240206,0.0,30.63,15.85,70.27,1.56,10.6583,77.0094
20240207,0.0,31.32,15.97,68.43,1.42,10.6583,77.0094
20240208,0.0,31.93,15.39,66.19,1.3,10.6583,77.0094
20240209,0.0,31.45,15.65,67.48,1.57,10.6583,77.0094
20240210,0.0,30.94,16.78,70.8,1.74,10.6583,77.0094
20240211,0.01,31.51,18.33,69.47,1.77,10.6583,77.0094
20240212,0.0,31.46,16.38,67.82,1.76,10.6583,77.0094
20240213,0.0,31.36,17.05,69.72,1.7,10.6583,77.0094
20240214,0.0,32.32,19.65,69.92,1.7,10.6583,77.0094
20240215,0.0,31.82,17.8,66.84,1.78,10.6583,77.0094
20240216,0.0,32.38,18.53,67.58,1.87,10.6583,77.0094
20240217,0.0,33.42,18.56,65.93,1.47,10.6583,77.0094
20240218,0.0,33.2,17.64,61.06,1.24,10.6583,77.0094
20240219,0.0,33.69,18.21,65.0,1.21,10.6583,77.0094
20240220,0.12,34.03,19.51,65.14,0.98,10.6583,77.0094
20240221,0.32,33.76,22.12,69.38,0.85,10.6583,77.0094
